tl,hanzi,frequency,poj,tl_num,poj_num,tps_num,tl_notone,poj_notone,tps_notone,tl_abbrev,poj_abbrev,tps_abbrev,kautian,is_variant
ê,的,184693,ê,e5,e5,ㆤˊ,e,e,ㆤ,,,,True,False
sī,是,103109,sī,si7,si7,ㄒㄧ˫,si,si,ㄒㄧ,,,,True,False
á,仔,90696,á,a2,a2,ㄚˋ,a,a,ㄚ,,,,True,False
i,伊,63255,i,i1,i1,ㄧ,i,i,ㄧ,,,,True,False
bô,無,63119,bô,bo5,bo5,ㆠㄛˊ,bo,bo,ㆠㄛ,,,,True,False
ê,个,59866,ê,e5,e5,ㆤˊ,e,e,ㆤ,,,,True,False
lâi,來,58294,lâi,lai5,lai5,ㄌㄞˊ,lai,lai,ㄌㄞ,,,,True,False
ū,有,53685,ū,u7,u7,ㄨ˫,u,u,ㄨ,,,,True,False
lâng,人,52526,lâng,lang5,lang5,ㄌㄤˊ,lang,lang,ㄌㄤ,,,,True,False
tī,佇,47453,tī,ti7,ti7,ㄉㄧ˫,ti,ti,ㄉㄧ,,,,True,False
tio̍h,著,46783,tio̍h,tioh8,tioh8,ㄉㄧㄛㆷ̇,tioh,tioh,ㄉㄧㄛㆷ,,,,True,False
tsi̍t,一,44439,chi̍t,tsit8,chit8,ㄐㄧㆵ̇,tsit,chit,ㄐㄧㆵ,,,,True,False
kóng,講,40867,kóng,kong2,kong2,ㄍㆲˋ,kong,kong,ㄍㆲ,,,,True,False
m̄,毋,39475,m̄,m7,m7,ㆬ˫,m,m,ㆬ,,,,True,False
khì,去,38728,khì,khi3,khi3,ㄎㄧ˪,khi,khi,ㄎㄧ,,,,True,False
guá,我,36961,góa,gua2,goa2,ㆣㄨㄚˋ,gua,goa,ㆣㄨㄚ,,,,True,False
thâu,頭,34601,thâu,thau5,thau5,ㄊㄠˊ,thau,thau,ㄊㄠ,,,,True,False
kò,個,33305,kò,ko3,ko3,ㄍㄛ˪,ko,ko,ㄍㄛ,,,,True,False
sî,時,32755,sî,si5,si5,ㄒㄧˊ,si,si,ㄒㄧ,,,,True,False
tâi,台,31281,tâi,tai5,tai5,ㄉㄞˊ,tai,tai,ㄉㄞ,,,,True,False
tsin,真,31026,chin,tsin1,chin1,ㄐㄧㄣ,tsin,chin,ㄐㄧㄣ,,,,True,False
tuā,大,30086,tōa,tua7,toa7,ㄉㄨㄚ˫,tua,toa,ㄉㄨㄚ,,,,True,False
koh,閣,29890,koh,koh4,koh4,ㄍㄛㆷ,koh,koh,ㄍㄛㆷ,,,,True,False
a,阿,29473,a,a1,a1,ㄚ,a,a,ㄚ,,,,True,False
tse,這,27958,che,tse1,che1,ㄗㆤ,tse,che,ㄗㆤ,,,,True,False
khuànn,看,27720,khòaⁿ,khuann3,khoann3,ㄎㄨㆩ˪,khuann,khoann,ㄎㄨㆩ,,,,True,False
lí,你,27089,lí,li2,li2,ㄌㄧˋ,li,li,ㄌㄧ,,,,True,False
kah,佮,26700,kah,kah4,kah4,ㄍㄚㆷ,kah,kah,ㄍㄚㆷ,,,,True,False
sim,心,25770,sim,sim1,sim1,ㄒㄧㆬ,sim,sim,ㄒㄧㆬ,,,,True,False
tshut,出,25088,chhut,tshut4,chhut4,ㄘㄨㆵ,tshut,chhut,ㄘㄨㆵ,,,,True,False
hōo,予,24836,hō͘,hoo7,hoo7,ㄏㆦ˫,hoo,hoo,ㄏㆦ,,,,True,False
sóo,所,24281,só͘,soo2,soo2,ㄙㆦˋ,soo,soo,ㄙㆦ,,,,True,False
hó,好,23707,hó,ho2,ho2,ㄏㄛˋ,ho,ho,ㄏㄛ,,,,True,False
huē,會,23113,hōe,hue7,hoe7,ㄏㄨㆤ˫,hue,hoe,ㄏㄨㆤ,,,,True,False
tuì,對,22528,tùi,tui3,tui3,ㄉㄨㄧ˪,tui,tui,ㄉㄨㄧ,,,,True,False
jîn,人,22442,jîn,jin5,jin5,ㆢㄧㄣˊ,jin,jin,ㆢㄧㄣ,,,,True,False
lîn,人,22442,lîn,lin5,lin5,ㄌㄧㄣˊ,lin,lin,ㄌㄧㄣ,,,,True,False
in,𪜶,22121,in,in1,in1,ㄧㄣ,in,in,ㄧㄣ,,,,True,False
bûn,文,22064,bûn,bun5,bun5,ㆠㄨㄣˊ,bun,bun,ㆠㄨㄣ,,,,True,False
gí,語,21976,gí,gi2,gi2,ㆣㄧˋ,gi,gi,ㆣㄧ,,,,True,False
hit,彼,21517,hit,hit4,hit4,ㄏㄧㆵ,hit,hit,ㄏㄧㆵ,,,,True,False
iú,有,21336,iú,iu2,iu2,ㄧㄨˋ,iu,iu,ㄧㄨ,,,,True,False
tsiū,就,21083,chiū,tsiu7,chiu7,ㄐㄧㄨ˫,tsiu,chiu,ㄐㄧㄨ,,,,True,False
kok,國,21044,kok,kok4,kok4,ㄍㆦㆻ,kok,kok,ㄍㆦㆻ,,,,True,False
ài,愛,19415,ài,ai3,ai3,ㄞ˪,ai,ai,ㄞ,,,,True,False
tō,就,18740,tō,to7,to7,ㄉㄛ˫,to,to,ㄉㄛ,,,,True,False
bīn,面,18694,bīn,bin7,bin7,ㆠㄧㄣ˫,bin,bin,ㆠㄧㄣ,,,,True,False
tsuè,做,18482,chòe,tsue3,choe3,ㄗㄨㆤ˪,tsue,choe,ㄗㄨㆤ,,,,True,False
tsò,做,18482,chò,tso3,cho3,ㄗㄛ˪,tso,cho,ㄗㄛ,,,,True,False
ngóo,我,18480,ngó͘,ngoo2,ngoo2,ㄫㆦˋ,ngoo,ngoo,ㄫㆦ,,,,True,False
tiong,中,18403,tiong,tiong1,tiong1,ㄉㄧㆲ,tiong,tiong,ㄉㄧㆲ,,,,True,False
ha̍k,學,18199,ha̍k,hak8,hak8,ㄏㄚㆻ̇,hak,hak,ㄏㄚㆻ,,,,True,False
tsuí,水,18181,chúi,tsui2,chui2,ㄗㄨㄧˋ,tsui,chui,ㄗㄨㄧ,,,,True,False
kā,共,18073,kā,ka7,ka7,ㄍㄚ˫,ka,ka,ㄍㄚ,,,,True,False
lán,咱,17922,lán,lan2,lan2,ㄌㄢˋ,lan,lan,ㄌㄢ,,,,True,False
kàu,到,17333,kàu,kau3,kau3,ㄍㄠ˪,kau,kau,ㄍㄠ,,,,True,False
iōng,用,17269,iōng,iong7,iong7,ㄧㆲ˫,iong,iong,ㄧㆲ,,,,True,False
teh,咧,17229,teh,teh4,teh4,ㄉㆤㆷ,teh,teh,ㄉㆤㆷ,,,,True,False
āu,後,17177,āu,au7,au7,ㄠ˫,au,au,ㄠ,,,,True,False
